group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,1,1.9,4,100,0.556000000000004,-0.0765658529435358
French,FR01,sync,1,1.9,5,100,0.533999999999999,0.0119316090147454
French,FR01,sync,1,1.9,6,100,0.561999999999998,0.433816284486607
French,FR01,sync,1,1.9,7,100,0.514000000000003,0.277023753566292
French,FR01,sync,1,1.9,8,100,0.545999999999999,0.513059187635238
French,FR01,sync,1,1.9,9,100,0.542000000000002,0.69627708147872
French,FR01,sync,1,1.9,10,100,0.497999999999998,0.351055963571066
French,FR01,sync,1,1.9,11,100,0.520000000000003,0.276813329142771
French,FR01,sync,1,1.9,12,100,0.533999999999999,0.364968622626601
French,FR01,sync,1,1.9,13,100,0.530000000000001,0.403288384699332
French,FR01,sync,1,1.9,14,100,0.527999999999999,0.419992637320055
French,FR01,sync,1,1.9,15,100,0.515999999999998,0.33985566964955
French,FR01,sync,1,2.2,1,33.3333333333333,NaN,1.62173363099423
French,FR01,sync,1,2.2,2,33.3333333333333,0.390000000000001,0.70979280173415
French,FR01,sync,1,2.2,3,33.3333333333333,0.378,-0.353515481019297
French,FR01,sync,1,2.2,4,33.3333333333333,0.387999999999998,-1.25885530867589
French,FR01,sync,1,2.2,5,33.3333333333333,0.387999999999998,-2.17728672913703
French,FR01,sync,1,2.2,6,33.3333333333333,0.474000000000004,-1.9139549089562
French,FR01,sync,1,2.2,7,33.3333333333333,0.513999999999996,-1.094650849821
French,FR01,sync,1,2.2,8,33.3333333333333,0.490000000000002,-0.607871929454537
French,FR01,sync,1,2.2,9,33.3333333333333,0.438000000000002,-0.842361107116387
French,FR01,sync,1,2.2,10,33.3333333333333,0.5,-0.223610724903989
French,FR01,sync,1,2.2,11,33.3333333333333,0.489999999999995,0.268016259804899
French,FR01,sync,1,2.2,12,33.3333333333333,0.458000000000006,0.311950764372327
French,FR01,sync,1,2.2,13,33.3333333333333,0.415999999999997,-0.229131977370836
French,FR01,sync,1,2.2,14,33.3333333333333,0.486000000000004,0.201791697062982
French,FR01,sync,1,2.2,15,33.3333333333333,0.451999999999998,0.188401358536128
French,FR01,sync,1,2.5,1,88.8888888888889,NaN,0.844666090770313
French,FR01,sync,1,2.5,2,88.8888888888889,0.420000000000002,1.15552833235495
French,FR01,sync,1,2.5,3,88.8888888888889,0.378,0.806985819063065
French,FR01,sync,1,2.5,4,88.8888888888889,0.345999999999997,-0.0439603169917704
French,FR01,sync,1,2.5,5,88.8888888888889,0.404000000000003,0.0125600905691567
French,FR01,sync,1,2.5,6,88.8888888888889,0.405999999999999,0.103620747194848
French,FR01,sync,1,2.5,7,88.8888888888889,0.384,-0.15072108682888
French,FR01,sync,1,2.5,8,88.8888888888889,0.419999999999995,0.160141154755664
French,FR01,sync,1,2.5,9,88.8888888888889,0.412000000000006,0.345402490649642
French,FR01,sync,1,2.5,10,88.8888888888889,0.385999999999996,0.122460883048527
French,FR01,sync,1,2.5,11,88.8888888888889,0.379999999999995,-0.19468140382065
French,FR01,sync,1,2.5,12,88.8888888888889,0.390000000000001,-0.35778377873056
French,FR01,sync,1,2.5,13,88.8888888888889,0.388000000000005,-0.549503962396964
French,FR01,sync,1,2.5,14,88.8888888888889,0.408000000000001,-0.427043079348437
French,FR01,sync,1,2.5,15,88.8888888888889,0.427999999999997,0.0105481566433787
French,FR01,sync,1,2.8,1,100,NaN,0.302211373835063
French,FR01,sync,1,2.8,2,100,0.404000000000011,1.11747926604213
French,FR01,sync,1,2.8,3,100,0.35199999999999,1.02022605771663
French,FR01,sync,1,2.8,4,100,0.330000000000013,0.539660087733437
French,FR01,sync,1,2.8,5,100,0.36399999999999,0.638549433239363
French,FR01,sync,1,2.8,6,100,0.352000000000004,0.56256835430813
French,FR01,sync,1,2.8,7,100,0.340000000000003,0.256671811653139
French,FR01,sync,1,2.8,8,100,0.359999999999999,0.3022113738353
French,FR01,sync,1,2.8,9,100,0.35799999999999,0.309239545319588
French,FR01,sync,1,2.8,10,100,0.348000000000013,0.14064208857722
French,FR01,sync,1,2.8,11,100,0.366,0.291995733760495
French,FR01,sync,1,2.8,12,100,0.359999999999999,0.339347981512561
French,FR01,sync,1,2.8,13,100,0.384,0.780980850892474
French,FR01,sync,1,2.8,14,100,0.347999999999999,0.643437555240118
French,FR01,sync,1,2.8,15,100,0.339999999999989,0.373721059163056
French,FR01,sync,1,3.1,1,88.8888888888889,NaN,1.40228919925961
French,FR01,sync,1,3.1,2,88.8888888888889,0.323999999999998,1.40580901838699
French,FR01,sync,1,3.1,3,88.8888888888889,0.299999999999997,0.977124852603311
French,FR01,sync,1,3.1,4,88.8888888888889,0.294000000000011,0.416801505187987
French,FR01,sync,1,3.1,5,88.8888888888889,0.301999999999992,0.0155813646798886
French,FR01,sync,1,3.1,6,88.8888888888889,0.293999999999997,-0.541452422627373
French,FR01,sync,1,3.1,7,88.8888888888889,0.344000000000008,-0.128466614087153
French,FR01,sync,1,3.1,8,88.8888888888889,0.353999999999999,0.478533617822464
French,FR01,sync,1,3.1,9,88.8888888888889,0.323999999999998,0.497986203912641
French,FR01,sync,1,3.1,10,88.8888888888889,0.329999999999998,0.634940610706952
French,FR01,sync,1,3.1,11,88.8888888888889,0.323999999999998,0.66138792707139
French,FR01,sync,1,3.1,12,88.8888888888889,0.329999999999998,0.798544939846052
French,FR01,sync,1,3.1,13,88.8888888888889,0.323999999999998,0.825300672318279
French,FR01,sync,1,3.1,14,88.8888888888889,0.310000000000002,0.576153299543148
French,FR01,sync,1,3.1,15,88.8888888888889,0.338000000000008,0.956136894570972
French,FR01,sync,1,3.4,1,55.5555555555556,NaN,2.26928349179858
French,FR01,sync,1,3.4,2,55.5555555555556,0.262,1.57613553932636
French,FR01,sync,1,3.4,3,55.5555555555556,0.278000000000006,1.22848429631225
French,FR01,sync,1,3.4,4,55.5555555555556,0.289999999999992,1.13037617542599
French,FR01,sync,1,3.4,5,55.5555555555556,0.286000000000001,0.943753138155463
French,FR01,sync,1,3.4,6,55.5555555555556,0.280000000000001,0.617596371490761
French,FR01,sync,1,3.4,7,55.5555555555556,0.302000000000007,0.80674050479422
French,FR01,sync,1,3.4,8,55.5555555555556,0.283999999999992,0.584383154842905
French,FR01,sync,1,3.4,9,55.5555555555556,0.305999999999997,0.828082846190689
French,FR01,sync,1,3.4,10,55.5555555555556,0.302000000000007,0.990284640805562
French,FR01,sync,1,3.4,11,55.5555555555556,0.310000000000002,1.32232684672483
French,FR01,sync,1,3.4,12,55.5555555555556,0.311999999999998,1.68770268399895
French,FR01,sync,1,3.4,13,55.5555555555556,0.292000000000002,1.62547933885403
French,FR01,sync,1,3.4,14,55.5555555555556,0.317999999999998,2.15130801278438
French,FR01,sync,1,3.4,15,55.5555555555556,0.275999999999996,1.91469848118181
French,FR01,sync,1,3.7,1,40,NaN,1.99835035657339
French,FR01,sync,1,3.7,2,40,0.244,1.38183706386687
French,FR01,sync,1,3.7,3,40,0.257999999999996,1.08443124190572
French,FR01,sync,1,3.7,4,40,0.232000000000014,0.198659535447625
