797	12
797	11
797	-7
808	-7
797	-7
811	-9
805	-7
811	-8
808	-7
805	-6
797	-8
805	-8
811	-8
797	-8
805	-8
805	-8
811	-8
819	-7
814	-8
819	-6
808	-7
797	-9
797	-8
797	-8
808	-8
797	-7
797	-8
797	-9
797	-8
805	-8
805	-7
797	-8
797	-8
808	-8
797	-7
805	-6
797	-6
797	-5
797	-8
797	-8
797	-7
797	-8
797	-9
797	-9
797	-8
797	-8
797	-6
797	-3
797	12
797	12
797	14
797	11
797	13
794	12
797	11
797	11
797	14
797	13
797	12
797	12
797	14
797	13
797	18
797	6
797	7
797	7
788	5
794	7
774	7
774	7
780	7
774	22
780	7
788	6
788	7
788	9
780	8
788	8
780	7
780	7
780	7
780	7
780	7
780	7
780	9
788	7
788	19
797	8
788	21
794	13
791	24
794	6
794	21
794	8
797	6
794	17
791	15
791	16
794	10
794	13
797	11
797	11
797	-8
797	-8
805	-8
797	-7
797	-7
808	-7
797	-7
797	-7
797	-8
805	-9
797	-8
797	-8
805	-8
797	-7
811	-8
814	-6
811	-8
814	-7
805	1
797	-8
797	-8
797	-8
797	-7
797	-8
797	-8
797	-8
797	-8
797	-8
797	-8
797	-8
797	-7
797	-7
794	-8
797	-8
797	-8
797	-9
797	-7
797	-8
797	-9
797	-8
794	-9
794	-8
797	-8
797	-8
797	-8
797	-8
797	20
794	12
797	11
794	14
791	13
797	11
797	11
797	13
797	13
791	13
797	12
797	11
797	12
797	13
797	19
791	6
791	7
788	12
788	7
794	10
780	7
774	7
780	6
780	10
774	7
780	7
780	7
780	17
774	6
777	9
780	8
774	7
774	7
780	6
780	6
774	7
774	7
774	7
788	7
780	25
788	27
788	8
791	18
797	7
791	7
788	15
788	5
791	18
794	26
791	22
780	11
794	13
794	10
794	12
791	-8
797	-7
797	-8
797	-6
797	-7
797	-8
797	-8
797	-7
797	-8
797	-9
797	-8
797	-8
797	-8
794	-7
805	-7
811	-7
814	-7
811	-8
805	-8
794	-7
794	-7
797	-8
797	-8
797	-8
791	-9
797	-8
794	-8
797	-7
794	-8
791	-8
797	-8
797	-8
797	-8
797	-8
797	-9
797	-8
794	-8
794	-8
797	-8
794	-8
794	-8
794	-8
794	-8
791	-8
797	-8
794	15
794	12
797	14
794	14
791	14
791	13
791	13
797	13
797	13
794	12
791	13
794	13
794	13
797	12
794	14
794	19
797	5
791	7
788	6
788	7
780	6
774	10
774	8
774	11
780	7
774	15
774	8
780	8
774	11
774	6
780	8
774	8
780	6
774	7
780	7
780	7
780	6
780	7
780	7
788	13
780	6
791	6
780	17
788	6
788	7
791	9
780	6
788	5
788	11
791	10
